Geometri,Latitude,Longitude,City,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
northeast,0.047059303,1.722485318,Pasir putih Parbaba," IDR 10,000.00 ",24,26,27,24,27,26,27,26
northeast,0.044329843,1.721701975,Efrata Waterfall,IDR -,22,23,25,24,24,24,24,24
northeast,0.044200289,1.72264525,Bukit Holbung Samosir," IDR 5,000.00 ",23,24,26,25,26,25,26,25
northeast,0.04419266,1.723255594,Pemandian Air Panas Rianiate," IDR 5,000.00 ",24,26,27,27,27,26,27,26
northeast,0.045728658,1.722236556,SAMTO AEK RANGAT," IDR 5,000.00 ",24,26,27,27,27,26,27,26
northeast,0.044565743,1.721612717,Menara Pandang Tele Samosir," IDR 7,000.00 ",24,26,27,27,27,26,27,26
northeast,0.046287776,1.725459449,Batak Museum," IDR 10,000.00 ",24,26,27,27,27,26,27,26
northeast,0.048195976,1.723097697,Pantai Batu Hoda (Batu Hoda Beach)," IDR 140,000.00 ",24,26,27,27,27,26,27,26
northeast,0.045231468,1.72142494,Batu Hobon," IDR 5,000.00 ",22,24,25,25,25,24,25,25
northeast,0.046306771,1.725469086,Pertunjukan Tari SIGALE GALE," IDR 5,000.00 ",22,24,25,25,25,24,25,25
northeast,0.045474702,1.725596906,Batu marhosa," IDR 120,000.00 ",21,23,24,24,24,23,24,24
northeast,0.045318658,1.721723549,Batu Sawan," IDR 5,000.00 ",21,23,24,24,24,23,24,24
northeast,0.045581033,1.725533314,AIR TERJUN SIGARATTUNG ( Sampuran Na Pitu)," IDR 5,000.00 ",21,23,24,24,24,23,24,24
northeast,0.046470724,1.725224597,Bukit Beta Tuk-tuk," IDR 100,000.00 ",24,26,27,27,27,27,27,27
northeast,0.045225718,1.721345803,Hadabuan Naisogop Waterfalls," IDR 15,000.00 ",24,26,27,27,27,27,27,27
northeast,0.045608002,1.725155946,Botanical Samosir," IDR 25,000.00 ",21,22,23,23,23,23,23,23
northeast,0.047110341,1.722490432,Pantai Indah Situngkir (PIS),IDR -,21,22,23,23,23,23,23,23
northeast,0.046781271,1.72504416,Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan )," IDR 5,000.00 ",25,27,28,28,28,27,28,28
northeast,0.045705458,1.725665659,Parhallow viewpoint and coffee shop," IDR 350,000.00 ",25,27,28,28,28,27,28,28
northeast,0.04805666,1.723438057,Museum Huta Bolon Simanindo,IDR -,25,27,28,28,28,27,28,28
northeast,0.047059303,1.722485318,Pasir putih Parbaba," IDR 10,000.00 ",24,26,27,24,27,26,27,26
northeast,0.044329843,1.721701975,Efrata Waterfall,IDR -,22,23,25,24,24,24,24,24
northeast,0.044200289,1.72264525,Bukit Holbung Samosir," IDR 5,000.00 ",23,24,26,25,26,25,26,25
northeast,0.04419266,1.723255594,Pemandian Air Panas Rianiate," IDR 5,000.00 ",24,26,27,27,27,26,27,26
northeast,0.045728658,1.722236556,SAMTO AEK RANGAT," IDR 5,000.00 ",24,26,27,27,27,26,27,26
northeast,0.044565743,1.721612717,Menara Pandang Tele Samosir," IDR 7,000.00 ",24,26,27,27,27,26,27,26
northeast,0.046287776,1.725459449,Batak Museum," IDR 10,000.00 ",24,26,27,27,27,26,27,26
northeast,0.048195976,1.723097697,Pantai Batu Hoda (Batu Hoda Beach)," IDR 140,000.00 ",24,26,27,27,27,26,27,26
northeast,0.045231468,1.72142494,Batu Hobon," IDR 5,000.00 ",22,24,25,25,25,24,25,25
northeast,0.046306771,1.725469086,Pertunjukan Tari SIGALE GALE," IDR 5,000.00 ",22,24,25,25,25,24,25,25
northeast,0.045474702,1.725596906,Batu marhosa," IDR 120,000.00 ",21,23,24,24,24,23,24,24
northeast,0.045318658,1.721723549,Batu Sawan," IDR 5,000.00 ",21,23,24,24,24,23,24,24
northeast,0.045581033,1.725533314,AIR TERJUN SIGARATTUNG ( Sampuran Na Pitu)," IDR 5,000.00 ",21,23,24,24,24,23,24,24
northeast,0.046470724,1.725224597,Bukit Beta Tuk-tuk," IDR 100,000.00 ",24,26,27,27,27,27,27,27
northeast,0.045225718,1.721345803,Hadabuan Naisogop Waterfalls," IDR 15,000.00 ",24,26,27,27,27,27,27,27
northeast,0.045608002,1.725155946,Botanical Samosir," IDR 25,000.00 ",21,22,23,23,23,23,23,23
northeast,0.047110341,1.722490432,Pantai Indah Situngkir (PIS),IDR -,21,22,23,23,23,23,23,23
northeast,0.046781271,1.72504416,Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan )," IDR 5,000.00 ",25,27,28,28,28,27,28,28
northeast,0.045705458,1.725665659,Parhallow viewpoint and coffee shop," IDR 350,000.00 ",25,27,28,28,28,27,28,28
northeast,0.04805666,1.723438057,Museum Huta Bolon Simanindo,IDR -,25,27,28,28,28,27,28,28
northeast,0.050027259,1.726518387,Bah Damanik," IDR 7,000.00 ",24,25,27,26,26,25,26,26
northeast,0.054991663,1.724200379,Kawah Putih Dolok Tinggi Raja," IDR 5,000.00 ",26,28,30,29,30,28,29,29
northeast,0.048878117,1.724124637,Garoga Beach,IDR -,24,26,27,27,27,26,27,26
northeast,0.054397128,1.731778076,Tangkahan Bah Alip,IDR -,24,26,27,27,27,26,27,26
northeast,0.0499463,1.731796741,Katasa Waterfall," IDR 15,000.00 ",28,29,31,31,31,29,29,30
northeast,0.046598395,1.726800833,Free beach Parapat Lake Toba," IDR 14,000.00 ",25,26,27,26,27,27,27,27
northeast,0.049345181,1.728532104,Manigom Nauli," IDR 5,000.00 ",26,27,28,28,28,27,27,27
northeast,0.046864989,1.726608826,Danau Toba Parapat," IDR 5,000.00 ",24,27,28,28,28,27,28,28
northeast,0.051853008,1.730841664,Pemandian Alam Sejuk Pas," IDR 20,000.00 ",28,29,31,31,31,29,30,30
northeast,0.050030148,1.726518823,Aek Manik,IDR -,24,25,27,26,26,25,26,26
northeast,0.04949862,1.726095926,Air Terjun Bah Biak Sidamanik," IDR 10,000.00 ",24,26,27,27,27,27,27,27
northeast,0.053758215,1.729282278,Bah Salak Waterfall," IDR 3,500.00 ",28,29,31,31,31,29,30,30
northeast,0.051619382,1.724529232,Air Terjun Tarak Nionggang," IDR 5,000.00 ",23,25,26,26,26,26,26,26
northeast,0.054203662,1.726621074,Wisata Bah Kulistik,IDR -,23,25,26,26,26,26,26,26
northeast,0.047021225,1.726622783,Taman Wisata Kera Sibaganding,IDR -,25,27,28,28,28,27,28,28
northeast,0.047463613,1.730331628,Niagara sipitu Tikka," IDR 5,000.00 ",25,27,28,28,28,27,28,28
northeast,0.049876455,1.726290954,"Kebun Teh Bahbutong, Sidamanik"," IDR 10,000.00 ",23,25,26,27,27,25,26,26
northeast,0.051053574,1.719793386,Bukit Gundul (bukit sipiso-piso)," IDR 15,000.00 ",18,21,22,22,22,21,22,22
northeast,0.048672982,1.724508836,Objek Wisata Pantai Paris," IDR 5,000.00 ",22,24,25,25,25,24,24,25
northeast,0.049717341,1.726621475,Sidamanik Rice Field,IDR -,23,25,26,27,27,25,26,26
northeast,0.035166367,1.72795438,Cross of Love," IDR 10,000.00 ",22,23,24,24,23,23,24,24
northeast,0.036241127,1.726918079,Lokasi Wisata Pemandian Air Panas Sipoholon," IDR 5,000.00 ",22,23,24,24,23,23,24,24
northeast,0.040424268,1.727554401,Bukit Doa," IDR 20,000.00 ",21,21,22,23,23,22,22,22
northeast,0.040851939,1.726894265,Tugu Toga Aritonang," IDR 5,000.00 ",23,25,26,27,27,26,26,26
northeast,0.035353314,1.72724355,SOPO PARTUNGKOAN,IDR -,24,25,26,26,25,25,26,27
